key	value
SETTINGS_INPUT_CELL_CAMERA_SENSITIVITY	Axisyay Ensitivitysay
SETTINGS_INPUT_CELL_INVERT_X_CAMERA_AXIS	Invertyay Xyay Axisyay
SETTINGS_INPUT_CELL_INVERT_Y_CAMERA_AXIS	Invertyay Yyay Axisyay
SETTINGS_INPUT_CELL_KEYBINDING_RESET_CAMERA	Esetray Ameracay
SETTINGS_INPUT_HEADER_MOVEMENT	Ovementmay
SETTINGS_INPUT_CELL_KEYBINDING_UP	Upyay
SETTINGS_INPUT_CELL_KEYBINDING_DOWN	Ownday
SETTINGS_INPUT_CELL_KEYBINDING_LEFT	Eftlay
SETTINGS_INPUT_CELL_KEYBINDING_RIGHT	Ightray
SETTINGS_INPUT_CELL_KEYBINDING_JUMP	Umpjay
SETTINGS_INPUT_CELL_KEYBINDING_DASH	Ashday
SETTINGS_INPUT_HEADER_STRAFING	Afingstray
SETTINGS_INPUT_CELL_KEYBINDING_LOCK_DIRECTION	Afestray
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE	Afestray / Aimyay Odemay
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_1	Oldhay Afestray Eykay
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_MODE_OPTION_2	Oggletay Afestray Eykay
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_WEAPON	Afestray Ilewhay Oldinghay Eaponway
SETTINGS_INPUT_CELL_KEYBINDING_STRAFE_CASTING	Afestray Ilewhay Astingcay Offensiveyay Illsskay
SETTINGS_INPUT_HEADER_ACTION	Actionyay
SETTINGS_INPUT_CELL_KEYBINDING_ATTACK	Attackyay
SETTINGS_INPUT_CELL_KEYBINDING_CHARGE_ATTACK	Argechay Attackyay
SETTINGS_INPUT_CELL_KEYBINDING_BLOCK	Ockblay
SETTINGS_INPUT_CELL_KEYBINDING_TARGET	Ocklay Onyay
SETTINGS_INPUT_CELL_KEYBINDING_INTERACT	Interactyay
SETTINGS_INPUT_CELL_KEYBINDING_PVP_FLAG	PvPyay Agflay Oggletay
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_01	Illskay Otslay 1
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_02	Illskay Otslay 2
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_03	Illskay Otslay 3
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_04	Illskay Otslay 4
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_05	Illskay Otslay 5
SETTINGS_INPUT_CELL_KEYBINDING_SKILL_SLOT_06	Illskay Otslay 6
SETTINGS_INPUT_CELL_KEYBINDING_RECALL	Ecallray
SETTINGS_INPUT_CELL_KEYBINDING_QUICKSWAP_WEAPON	Uickswapqay Eaponway
SETTINGS_INPUT_CELL_KEYBINDING_SHEATHE_WEAPON	Eatheshay / Unsheatheyay Eaponway
SETTINGS_INPUT_CELL_KEYBINDING_SIT	Itsay
SETTINGS_INPUT_HEADER_CONSUMABLE_SLOTS	Onsumablecay Uickqay Otsslay
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_01	Uickqay Otslay 1
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_02	Uickqay Otslay 2
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_03	Uickqay Otslay 3
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_04	Uickqay Otslay 4
SETTINGS_INPUT_CELL_KEYBINDING_QUICK_SLOT_05	Uickqay Otslay 5
SETTINGS_INPUT_HEADER_INTERFACE	Interfaceyay
SETTINGS_INPUT_CELL_KEYBINDING_HOST_CONSOLE	Osthay Onsolecay
SETTINGS_INPUT_CELL_KEYBINDING_LEXICON	Openyay Exiconlay
SETTINGS_INPUT_CELL_KEYBINDING_TAB_MENU	Openyay Abtay Enumay
SETTINGS_INPUT_CELL_KEYBINDING_STATS_TAB	Atsstay Abtay
SETTINGS_INPUT_CELL_KEYBINDING_SKILLS_TAB	Illsskay Abtay
SETTINGS_INPUT_CELL_KEYBINDING_ITEM_TAB	Itemyay Abtay
SETTINGS_INPUT_CELL_KEYBINDING_QUEST_TAB	Uestqay Abtay
SETTINGS_INPUT_CELL_KEYBINDING_WHO_TAB	Owhay Abtay
SETTINGS_INPUT_CELL_KEYBINDING_HIDE_UI	Idehay Amegay UIyay
SETTINGS_NETWORK_HEADER_UI_SETTINGS	UIyay Ettingssay
SETTINGS_NETWORK_CELL_LOCALYSSATION_LANGUAGE	Anguagelay
SETTINGS_NETWORK_CELL_DISPLAY_CREEP_NAMETAGS	Isplayday Enemyyay Ametagsnay
SETTINGS_NETWORK_CELL_DISPLAY_LOCAL_NAMETAG	Isplayday Ocallay Aracterchay Amenay Agtay
SETTINGS_NETWORK_CELL_DISPLAY_HOST_TAG	Isplayday [OSThay] Agtay onyay Osthay Aracterchay
SETTINGS_NETWORK_CELL_HIDE_DUNGEON_MINIMAP	Idehay Ungeonday Inimapmay
SETTINGS_NETWORK_CELL_HIDE_FPS_COUNTER	Idehay FPSyay Ountercay
SETTINGS_NETWORK_CELL_HIDE_PING_COUNTER	Idehay Ingpay Ountercay
SETTINGS_NETWORK_HEADER_CLIENT_SETTINGS	Ientclay Ettingssay
SETTINGS_NETWORK_CELL_ENABLE_PVP_ON_MAP_ENTER	Agflay orfay PvPyay enwhay availableyay
SETTINGS_BUTTON_RESET_TO_DEFAULTS	Esetray otay Efaultsday
SETTINGS_BUTTON_RESET	Esetray
SETTINGS_BUTTON_CANCEL	Ancelcay
SETTINGS_BUTTON_APPLY	Applyyay
FORMAT_EQUIP_ITEM_RARITY	[{0}]
FORMAT_EQUIP_LEVEL_REQUIREMENT	Lvyay-{0}
FORMAT_EQUIP_CLASS_REQUIREMENT	Assclay: {0}
FORMAT_EQUIP_WEAPON_CONDITION	\n<color=lime>- <color=yellow>{0}%</color> ancechay otay applyyay {1}.</color>
EQUIP_TOOLTIP_TYPE_HELM	Elmhay (Armoryay)
EQUIP_TOOLTIP_TYPE_CHESTPIECE	Estpiecechay (Armoryay)
EQUIP_TOOLTIP_TYPE_LEGGINGS	Eggingslay (Armoryay)
EQUIP_TOOLTIP_TYPE_CAPE	Apecay (Armoryay)
EQUIP_TOOLTIP_TYPE_RING	Ingray (Armoryay)
FORMAT_EQUIP_TOOLTIP_TYPE_WEAPON	{0} (Eaponway)
EQUIP_TOOLTIP_TYPE_SHIELD	Ieldshay
FORMAT_EQUIP_STATS_DAMAGE_SCALED	<color=#c5e384>({0} - {1})</color> Amageday
FORMAT_EQUIP_STATS_DAMAGE_SCALED_POWERFUL	<color=#efcc00>({0} - {1})</color> Amageday
FORMAT_EQUIP_STATS_DAMAGE_COMPARE_BASE	\n<color=grey>(Asebay Amageday: {0} - {1})</color>
FORMAT_EQUIP_STATS_DAMAGE_UNSCALED	({0} - {1}) Amageday
FORMAT_EQUIP_STATS_BLOCK_THRESHOLD	Ockblay esholdthray: {0} amageday
TAB_MENU_CELL_STATS_HEADER	Atsstay
TAB_MENU_CELL_STATS_ATTRIBUTE_POINT_COUNTER	Ointspay
TAB_MENU_CELL_STATS_BUTTON_APPLY_ATTRIBUTE_POINTS	Applyyay
TAB_MENU_CELL_STATS_INFO_CELL_NICK_NAME	Icknamenay
TAB_MENU_CELL_STATS_INFO_CELL_RACE_NAME	Aceray
TAB_MENU_CELL_STATS_INFO_CELL_CLASS_NAME	Assclay
TAB_MENU_CELL_STATS_INFO_CELL_LEVEL_COUNTER	Evellay
TAB_MENU_CELL_STATS_INFO_CELL_EXPERIENCE	Experienceyay
TAB_MENU_CELL_STATS_INFO_CELL_MAX_HEALTH	Ealthhay
TAB_MENU_CELL_STATS_INFO_CELL_MAX_MANA	Anamay
TAB_MENU_CELL_STATS_INFO_CELL_MAX_STAMINA	Aminastay
TAB_MENU_CELL_STATS_INFO_CELL_ATTACK	Attackyay Owerpay
TAB_MENU_CELL_STATS_INFO_CELL_RANGED_POWER	Exday Owerpay
TAB_MENU_CELL_STATS_INFO_CELL_PHYS_CRITICAL	Physyay. Itcray %
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_POW	Mgkyay. Owerpay
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_CRIT	Mgkyay. Itcray %
TAB_MENU_CELL_STATS_INFO_CELL_DEFENSE	Efenseday
TAB_MENU_CELL_STATS_INFO_CELL_MAGIC_DEF	Mgkyay. Efenseday
TAB_MENU_CELL_STATS_INFO_CELL_EVASION	Evasionyay %
TAB_MENU_CELL_STATS_INFO_CELL_MOVE_SPD	Ovmay Spdyay %
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_BEGIN	<b>Asebay Atstay:</b> <i>
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_CRIT	%</i> (Iticalcray %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_EVASION	%</i> (Evasionyay %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_ATTACK_POW	{0}</i> (Attackyay Owerpay)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_MP	{0}</i> (Axmay Anamay)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_HP	{0}</i> (Axmay Ealthhay)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_RANGE_POW	{0}</i> (Exday Owerpay)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_END_MAGIC_CRIT	%</i> (Agicmay Iticalcray %)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_DEF	{0}</i> (Agicmay Efenseday)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_DEFENSE	{0}</i> (Efenseday)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAGIC_POW	{0}</i> (Agicmay Owerpay)
TAB_MENU_CELL_STATS_TOOLTIP_BASE_STAT_FORMAT_MAX_STAM	{0}</i> (Axmay Aminastay)
FORMAT_QUEST_REQUIRED_LEVEL	(lvyay-{0})
QUEST_TYPE_CLASS	(Assclay Ometay)
QUEST_TYPE_MASTERY	(Asterymay Ollscray)
QUEST_MENU_SUMMARY_NO_QUESTS	Onay Uestsqay inyay Uestqay Oglay.
QUEST_MENU_HEADER_UNSELECTED	Electsay ayay Uestqay.
FORMAT_QUEST_MENU_CELL_QUEST_LOG_COUNTER	Uestqay Oglay: ({0} / {1})
FORMAT_QUEST_MENU_CELL_FINISHED_QUEST_COUNTER	Ompletedcay Uestsqay: {0}
FORMAT_QUEST_MENU_CELL_REWARD_EXP	{0} expyay
FORMAT_QUEST_MENU_CELL_REWARD_CURRENCY	{0} Ownscray
QUEST_MENU_CELL_SLOT_EMPTY	Emptyyay Otslay
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_ACCEPT	Acceptyay Uestqay
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_LOCKED	Uestqay Ockedlay
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_INCOMPLETE	Uestqay Incompleteyay
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_TURN_IN	Ompletecay Uestqay
QUEST_SELECTION_MANAGER_QUEST_ACCEPT_BUTTON_UNSELECTED	Electsay ayay Uestqay
FORMAT_QUEST_PROGRESS	{0}: ({1} / {2})
FORMAT_QUEST_PROGRESS_CREEPS_KILLED	{0} ainslay
ITEM_LEATHER_CAP_NAME	Eatherlay Apcay
ITEM_LEATHER_CAP_DESCRIPTION	
ITEM_NEWFOLD_HALO_NAME	Ewfoldnay Alohay
ITEM_NEWFOLD_HALO_DESCRIPTION	Ayay igilsay otay indicateyay ayay ewnay oul'ssay introductionyay otay ethay orldway.
ITEM_FOCUS_CIRCLET_NAME	Ocusfay Ircletcay
ITEM_FOCUS_CIRCLET_DESCRIPTION	Eepkay illstay.
ITEM_JOURNEYMAN_SPECTACLES_NAME	Ourneymanjay Ectaclesspay
ITEM_JOURNEYMAN_SPECTACLES_DESCRIPTION	Usedyay otay eadray arderhay-- ownay ithway olorcay!
ITEM_MAGISTRATE_CIRCLET_NAME	Agistratemay Ircletcay
ITEM_MAGISTRATE_CIRCLET_DESCRIPTION	Earsclay ethay indmay, uttingpay ingsthay atyay easeyay.
ITEM_RAGE_CIRCLET_NAME	Ageray Ircletcay
ITEM_RAGE_CIRCLET_DESCRIPTION	Ervorfay ofyay angstyay andyay envyyay.
ITEM_GEISTLORD_CROWN_NAME	Eistlordgay Owncray
ITEM_GEISTLORD_CROWN_DESCRIPTION	Ancay ouyay andlehay ethay adnessmay atthay ensuesyay?
ITEM_NETHERCRYPT_HALO_NAME	Ethercryptnay Alohay
ITEM_NETHERCRYPT_HALO_DESCRIPTION	Anishedbay owncray omfray ethay ethernay ealmsray.
ITEM_MITHRIL_HALO_NAME	Ithrilmay Alohay
ITEM_MITHRIL_HALO_DESCRIPTION	
ITEM_GLYPHGRIFT_HALO_NAME	Iftglyphgray Alohay
ITEM_GLYPHGRIFT_HALO_DESCRIPTION	
ITEM_JESTERCAST_MEMORY_NAME	Estercastjay Emorymay
ITEM_JESTERCAST_MEMORY_DESCRIPTION	Ethay uetray oolfay isyay ethay enemyyay ofyay ethay astercay...
ITEM_KNIGHTGUARD_HALO_NAME	Ightguardknay Alohay
ITEM_KNIGHTGUARD_HALO_DESCRIPTION	Isionsvay ofyay ightmay andyay owesspray.
ITEM_GEISTLORD_EYE_NAME	Eistlordgay Eyeyay
ITEM_GEISTLORD_EYE_DESCRIPTION	Adnessmay eyondbay omprehensioncay.
ITEM_INITIATE_SPECTACLES_NAME	Initiateyay Ectaclesspay
ITEM_INITIATE_SPECTACLES_DESCRIPTION	Usedyay otay eadray.
ITEM_CRYPTSINGE_HALO_NAME	Ingecryptsay Alohay
ITEM_CRYPTSINGE_HALO_DESCRIPTION	Uminationray ofyay ethay eadday.
ITEM_DIVA_CROWN_NAME	Ivaday Owncray
ITEM_DIVA_CROWN_DESCRIPTION	Ayay owncray ornway byyay ayay Imeslay Ivaday. Ontainscay unusualyay owerpay.
ITEM_IRON_HALO_NAME	Ironyay Alohay
ITEM_IRON_HALO_DESCRIPTION	
ITEM_DEMICRYPT_HALO_NAME	Emicryptday Alohay
ITEM_DEMICRYPT_HALO_DESCRIPTION	Allenfay omfray orruptedcay angelsyay.
ITEM_ACOLYTE_HOOD_NAME	Acolyteyay Oodhay
ITEM_ACOLYTE_HOOD_DESCRIPTION	Ultistscay areyay eensay otay earway isthay.
ITEM_DIRE_HELM_NAME	Ireday Elmhay
ITEM_DIRE_HELM_DESCRIPTION	Onceyay ornway byyay ayay avebray arriorway.
ITEM_WIZARD_HAT_NAME	Izardway Athay
ITEM_WIZARD_HAT_DESCRIPTION	
ITEM_REGAZUUL_CAPE_NAME	Egazuulray Apecay
ITEM_REGAZUUL_CAPE_DESCRIPTION	Ayay onglay orgottenfay eirloomhay ofyay Ordlay Uulnerudazay.
ITEM_COZY_CLOAK_NAME	Ozycay Oakclay
ITEM_COZY_CLOAK_DESCRIPTION	Eepskay ouyay armway inyay ethay oldcay eatherway.
ITEM_NETHERCRYPT_CLOAK_NAME	Ethercryptnay Oakclay
ITEM_NETHERCRYPT_CLOAK_DESCRIPTION	Ugray orfay ethay eetfay ofyay ethay eadday.
ITEM_FORLORN_CLOAK_NAME	Orlornfay Oakclay
ITEM_FORLORN_CLOAK_DESCRIPTION	Oreverfay ostlay.
ITEM_MESHLINK_CAPE_NAME	Eshlinkmay Apecay
ITEM_MESHLINK_CAPE_DESCRIPTION	Evasiveyay andyay ightlay.
ITEM_SAGECALLER_CAPE_NAME	Agecallersay Apecay
ITEM_SAGECALLER_CAPE_DESCRIPTION	Immingbray ithway agicalmay owerpay.
ITEM_COBBLERAGE_CLOAK_NAME	Obbleragecay Oakclay
ITEM_COBBLERAGE_CLOAK_DESCRIPTION	Ouyay eelfay ongstray ikelay ayay olemgay earingway isthay.
ITEM_DEATHWARD_CAPE_NAME	Eathwardday Apecay
ITEM_DEATHWARD_CAPE_DESCRIPTION	Ouyay ancay earhay ethay aughterlay omfray ethay ullskay otifmay.
ITEM_INITIATE_CLOAK_NAME	Initiateyay Oakclay
ITEM_INITIATE_CLOAK_DESCRIPTION	Ewnay eginningsbay.
ITEM_NOKKET_CLOAK_NAME	Okketnay Oakclay
ITEM_NOKKET_CLOAK_DESCRIPTION	
ITEM_RUGGED_CLOAK_NAME	Uggedray Oakclay
ITEM_RUGGED_CLOAK_DESCRIPTION	
ITEM_AERO_TOP_NAME	Aeroyay Optay
ITEM_AERO_TOP_DESCRIPTION	Ommoncay othingclay ornway byyay Esbyrdlay.
ITEM_BUNHOST_GARB_NAME	Unhostbay Arbgay
ITEM_BUNHOST_GARB_DESCRIPTION	
ITEM_LEATHER_TOP_NAME	Eatherlay Optay
ITEM_LEATHER_TOP_DESCRIPTION	Ommoncay othingclay ornway byyay Oonspay.
ITEM_NECRO_MARROW_NAME	Ecronay Arrowmay
ITEM_NECRO_MARROW_DESCRIPTION	Ommoncay othingclay ornway byyay Impsyay.
ITEM_NOBLE_SHIRT_NAME	Oblenay Irtshay
ITEM_NOBLE_SHIRT_DESCRIPTION	
